"Policy","Expiry","Location","State","Region","InsuredValue","Construction","BusinessType","Earthquake","Flood","ROW_NUMBER","FILE_NAME","FILE_DATE"
100242,"2021-01-02","Urban","NY","East",1617630,"Frame","Retail","N","N",1,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100314,"2021-01-02","Urban","NY","East",8678500,"Fire Resist","Apartment","Y","Y",2,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100359,"2021-01-02","Rural","WI","Midwest",2052660,"Frame","Farming","N","N",3,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100315,"2021-01-03","Urban","NY","East",17580000,"Frame","Apartment","Y","Y",4,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100385,"2021-01-03","Urban","NY","East",1925000,"Masonry","Hospitality","N","N",5,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100388,"2021-01-04","Urban","IL","Midwest",12934500,"Frame","Apartment","Y","Y",6,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100358,"2021-01-05","Urban","WI","Midwest",928300,"Masonry","Office Bldg","N","N",7,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100264,"2021-01-07","Rural","NY","East",2219900,"Frame","Farming","N","N",8,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100265,"2021-01-07","Urban","NY","East",14100000,"Frame","Apartment","Y","Y",9,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100357,"2021-01-08","Urban","NY","East",4762808,"Masonry","Other","Y","Y",10,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100399,"2021-01-08","Urban","NY","East",13925190,"Frame","Apartment","Y","Y",11,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100329,"2021-01-09","Urban","NY","East",6350000,"Frame","Apartment","Y","Y",12,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100429,"2021-01-09","Urban","WI","Midwest",4036000,"Masonry","Medical","Y","Y",13,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100441,"2021-01-10","Urban","NJ","East",472800,"Masonry","Retail","Y","Y",14,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100442,"2021-01-10","Urban","WI","Midwest",11710880,"Masonry","Apartment","Y","Y",15,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100372,"2021-01-12","Urban","NY","East",1370300,"Frame","Apartment","Y","Y",16,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100281,"2021-01-13","Rural","WI","Midwest",1432835,"Frame","Farming","N","N",17,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100280,"2021-01-15","Urban","NY","East",82000,"Masonry","Organization","Y","Y",18,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100424,"2021-01-16","Urban","NY","East",192000,"Masonry","Retail","N","N",19,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100425,"2021-01-16","Urban","NY","East",4950000,"Frame","Office Bldg","Y","Y",20,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100426,"2021-01-16","Urban","VT","Northeast",2432875,"Fire Resist","Apartment","N","N",21,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100252,"2021-01-17","Urban","OH","Central",1529600,"Masonry","Apartment","N","N",22,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100279,"2021-01-18","Urban","NY","East",7677000,"Frame","Apartment","Y","Y",23,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100292,"2021-01-18","Urban","NY","East",13750000,"Frame","Apartment","Y","Y",24,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100398,"2021-01-18","Rural","NY","East",2529400,"Frame","Farming","N","N",25,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100382,"2021-01-19","Urban","NJ","East",2328650,"Frame","Organization","N","N",26,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100461,"2021-01-20","Urban","WI","Midwest",4380200,"Masonry","Office Bldg","Y","Y",27,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100263,"2021-01-22","Urban","NJ","East",2815000,"Metal Clad","Apartment","Y","Y",28,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100453,"2021-01-22","Urban","NY","East",1177700,"Frame","Hospitality","N","N",29,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100381,"2021-01-23","Urban","VT","Northeast",7203500,"Frame","Office Bldg","Y","Y",30,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100275,"2021-01-25","Urban","WI","Midwest",53410614,"Frame","Construction","Y","Y",31,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100277,"2021-01-25","Urban","NJ","East",3189300,"Masonry","Service","Y","Y",32,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100312,"2021-01-25","Rural","IL","Midwest",3145700,"Frame","Education","N","N",33,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100327,"2021-01-25","Urban","WI","Midwest",1451100,"Frame","Recreation","N","N",34,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100326,"2021-01-26","Urban","OH","Central",1787900,"Frame","Office Bldg","N","N",35,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100379,"2021-01-26","Urban","NY","East",18777355,"Frame","Apartment","Y","Y",36,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100310,"2021-01-28","Urban","WI","Midwest",8800000,"Fire Resist","Office Bldg","Y","Y",37,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100341,"2021-01-28","Urban","NY","East",1123000,"Frame","Office Bldg","Y","Y",38,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100289,"2021-01-29","Rural","NY","East",2145420,"Frame","Farming","N","N",39,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100290,"2021-01-29","Urban","NY","East",18933000,"Frame","Office Bldg","Y","Y",40,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100291,"2021-01-29","Urban","NY","East",21400000,"Fire Resist","Apartment","Y","Y",41,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100340,"2021-01-30","Urban","NY","East",3754000,"Frame","Office Bldg","Y","Y",42,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100415,"2021-01-31","Urban","NY","East",9650000,"Frame","Office Bldg","Y","Y",43,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100421,"2021-01-31","Urban","NY","East",9503000,"Frame","Office Bldg","Y","Y",44,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100304,"2021-02-01","Urban","NJ","East",1688300,"Frame","Hospitality","N","Y",45,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100414,"2021-02-02","Urban","WI","Midwest",17856705,"Masonry","Apartment","Y","Y",46,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100420,"2021-02-02","Urban","NY","East",7577000,"Frame","Apartment","Y","Y",47,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100481,"2021-02-02","Urban","WI","Midwest",1990915,"Masonry","Office Bldg","N","N",48,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100352,"2021-02-03","Urban","NJ","East",1245000,"Frame","Hospitality","Y","Y",49,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100496,"2021-02-04","Urban","IL","Midwest",1895000,"Masonry","Office Bldg","N","N",50,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
